1994-01-01 | Size of misc in tokens: 1321905
       914 | Gesetz über Fachanwaltsbezeichnungen nach der Bundesrechtsanwaltsordnung (Artikel 1 des Gesetzes über Fachanwaltsbezeichnungen nach der Bundesrechtsanwaltsordnung und zur Änderung der Bundesrechtsanwaltsordnung)
       910 | Gesetz über den Bundesnachrichtendienst
       908 | Gesetz über das Vermögen der Gemeinden, Städte und Landkreise
       906 | Gesetz über die Umwandlung von Reichsmarkguthaben im Saarland
       893 | Gesetz zur Änderung und Ergänzung des Gesetzes über Kapitalanlagegesellschaften und der Gewerbeordnung
       892 | Gesetz über eine Untersuchung der Konzentration in der Wirtschaft
       891 | Gesetz über die Eignungsprüfung für die Zulassung zur Rechtsanwaltschaft (Artikel 1 des Gesetzes zur Umsetzung der Richtlinie des Rates vom 21. Dezember 1988 über eine allgemeine Regelung zur Anerkennung der Hochschuldiplome, die eine mindestens dreijährige Berufsausbildung abschließen, für die Berufe des Rechtsanwalts und des Patentanwalts)
       883 | Gesetz über Preisnachlässe
       882 | Gesetz über den Ausbau der Schienenwege des Bundes
       874 | Gesetz, betreffend die Einführung der Zivilprozeßordnung
       868 | Straßenbaufinanzierungsgesetz
       863 | Gesetz über Leistungen aus vor der Währungsreform eingegangenen Renten- und Pensionsversicherungen
       862 | Gesetz zur Änderung des Patentgesetzes, des Warenzeichengesetzes und weiterer Gesetze
       859 | Gesetz über die Eignungsprüfung für die Zulassung zur Patentanwaltschaft
       858 | Gesetz über die Bildung eines Sachverständigenrates zur Begutachtung der gesamtwirtschaftlichen Entwicklung
       854 | Gesetz zu dem Vertrag vom 10. März 1956 zwischen der Bundesrepublik Deutschland und der Föderativen Volksrepublik Jugoslawien über die Regelung gewisser Forderungen aus der Sozialversicherung
       850 | Gesetz über die Ausprägung von Scheidemünzen
       836 | Gesetz über die zwanzigste Anpassung der Leistungen nach dem Bundesversorgungsgesetz
       832 | Gesetz zur Änderung des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung und anderer handelsrechtlicher Vorschriften
       827 | Gesetz über eine Volks-, Berufs- und Arbeitsstättenzählung
       825 | Gesetz zur Fortführung des sozialen Wohnungsbaus
       824 | Gesetz über die Luftfahrtstatistik
       811 | Gesetz zur Neuordnung des Bundesdisziplinarrechts
       808 | Gesetz über die vermögensrechtlichen Verhältnisse der Deutschen Bundesbahn
       803 | Zweites Gesetz zur Überleitung von Lasten und Deckungsmitteln auf den Bund
       798 | Einführungsgesetz zu dem Gesetz über die Zwangsversteigerung und die Zwangsverwaltung
       797 | Gesetz über die Unterbrechung von Gesamtvollstreckungsverfahren
       794 | Gesetz zur Regelung vermögensrechtlicher Angelegenheiten der Wohnungsgenossenschaften im Beitrittsgebiet
       792 | Gesetz zur Ausführung des Haager Übereinkommens vom 1. März 1954 über den Zivilprozeß
       781 | Gesetz über den Widerruf von Haustürgeschäften und ähnlichen Geschäften
       773 | Erstes Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen in Bund und Ländern
       771 | Gesetz über die Statistik der Straßenverkehrsunfälle
       769 | Gesetz über die Eisenbahnverkehrsverwaltung des Bundes
       764 | Gesetz zu dem Protokoll vom 28. August 1952 über die Rechtsstellung der auf Grund des Nordatlantikvertrags errichteten internationalen militärischen Hauptquartiere und zu den dieses Protokoll ergänzenden Vereinbarungen
       760 | Gesetz betreffend die Verwendung gesundheitsschädlicher Farben bei der Herstellung von Nahrungsmitteln, Genußmitteln und Gebrauchsgegenständen
       759 | Gesetz zur weiteren Aufbesserung von Leistungen aus Renten- und Pensionsversicherungen sowie aus Kapitalzwangsversicherungen
       755 | Gesetz zur Ausführung des Haager Übereinkommens vom 15. November 1965 über die Zustellung gerichtlicher und außergerichtlicher Schriftstücke im Ausland in Zivil- oder Handelssachen und des Haager Übereinkommens vom 18. März 1970 über die Beweisaufnahme im Ausland in Zivil- oder Handelssachen
       755 | Gesetz über die Anpassung von Dienst- und Versorgungsbezügen in Bund und Ländern 1993
       755 | Gesetz zur Durchführung der Richtlinien des Rates der Europäischen Gemeinschaften zur Angleichung der Rechtsvorschriften der Mitgliedstaaten über Funkstörungen durch Hochfrequenzgeräte und Funkanlagen
       750 | Gesetz über die Inkraftsetzung von Vereinbarungen betreffend den befristeten Aufenthalt von Streitkräften der Französischen Republik, der Union der Sozialistischen Sowjetrepubliken, des Vereinigten Königreichs Großbritannien und Nordirland und der Vereinigten Staaten von Amerika in Berlin und von sowjetischen Streitkräften auf dem in Artikel 3 des Einigungsvertrages genannten Gebiet nach Herstellung der Deutschen Einheit
       748 | Ausführungsgesetz zu dem Vertrag vom 19. November 1990 über konventionelle Streitkräfte in Europa (KSE-Vertrag)
       745 | Gesetz über die Errichtung einer Stiftung Bundeskanzler-Adenauer-Haus
       742 | Gesetz über die Statistik der Bevölkerungsbewegung und die Fortschreibung des Bevölkerungsstandes
       740 | Gesetz zu dem Vertrag zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über die Regelung von Fragen, welche die Aufsichtsräte der in der Bundesrepublik Deutschland zum Betrieb von Grenzkraftwerken am Rhein errichteten Aktiengesellschaften betreffen
       739 | Viertes Gesetz zur Änderung des Lastenausgleichsgesetzes
       738 | Viertes Bundesgesetz zur Änderung der Gewerbeordnung
       737 | Gesetz zur Vorbereitung der Gebäude-, Wohnungs- und Arbeitsstättenzählung 1975
       735 | Gesetz über Schifferdienstbücher
       735 | Drittes Gesetz zur Änderung des Bundesbesoldungsgesetzes
       732 | Gesetz betreffend die Verpflichtung der Kauffahrteischiffe zur Mitnahme heimzuschaffender Seeleute
       731 | Überleitungsgesetz für die Bundesfernstraßen im Saarland
       728 | Übergangsgesetz über Preisbildung und Preisüberwachung
       726 | Gesetz über die Erhebung der Abschöpfungen nach Maßgabe der Verordnungen der Europäischen Wirtschaftsgemeinschaft über die schrittweise Errichtung gemeinsamer Marktorganisationen für die landwirtschaftlichen Erzeugnisse
       713 | Gesetz über die Schätzung des Kulturbodens
       713 | Gesetz über die Zuständigkeit der Gerichte bei Änderungen der Gerichtseinteilung
       697 | Gesetz zur Regelung der Lohnzahlung an Feiertagen
       693 | Gesetz zur Ausführung des Abkommens vom 2. Mai 1992 über den Europäischen Wirtschaftsraum
       690 | Vorläufiges Biergesetz
       687 | Anteilzollgesetz
       686 | Gesetz über die Preisstatistik
       680 | Gesetz zu dem Vertrag vom 27. November 1961 zwischen der Bundesrepublik Deutschland und der Republik Österreich zur Regelung von Schäden der Vertriebenen, Umsiedler und Verfolgten, über weitere finanzielle Fragen und Fragen aus dem sozialen Bereich (Finanz- und Ausgleichsvertrag)
       666 | Gesetz über den Übergang von Zuständigkeiten auf dem Gebiete des Rechts des Gesundheitswesens
       665 | Gesetz über Maßnahmen auf dem Gebiete des Notarrechts
       663 | Gesetz zur Anpassung verschiedener Vorschriften über die Finanzbeziehungen zwischen dem Bund und den Ländern an die Neuregelung der Finanzverfassung
       662 | Fünftes Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen
       650 | Zweites Gesetz über die Durchführung von Statistiken der Bautätigkeit und die Fortschreibung des Gebäudebestandes
       643 | Gesetz über die Durchforschung des Reichsgebietes nach nutzbaren Lagerstätten
       638 | Gesetz über die Sicherung der Bauforderungen
       633 | Gesetz über die Durchführung einer Repräsentativstatistik auf dem Gebiet des Wohnungswesens
       623 | Zweites Gesetz zur Änderung und Ergänzung des Gesetzes zur Regelung von Ansprüchen aus Lebens- und Rentenversicherungen
       615 | Gesetz über eine einmalige Zuwendung an die im Beitrittsgebiet lebenden Vertriebenen
       613 | Gesetz zu dem Vertrag vom 11. Juli 1959 zwischen der Bundesrepublik Deutschland und dem Großherzogtum Luxemburg
       610 | Gesetz über weitere Maßnahmen auf dem Gebiet des Versorgungsausgleichs
       609 | Gesetz über die Anpassung von Dienst- und Versorgungsbezügen in Bund und Ländern 1986
       605 | Gesetz zu dem Übereinkommen vom 29. Juli 1960 über die Haftung gegenüber Dritten auf dem Gebiet der Kernenergie nebst Zusatzvereinbarungen, zu dem Übereinkommen vom 25. Mai 1962 über die Haftung der Inhaber von Reaktorschiffen nebst Zusatzprotokoll und zu dem Übereinkommen vom 17. Dezember 1971 über die zivilrechtliche Haftung bei der Beförderung von Kernmaterial auf See
       598 | Gesetz zur Vermeidung und Bewältigung von Schwangerschaftskonflikten
       596 | Gesetz über das Verfahren bei der Erteilung von Zollkontingentscheinen
       592 | Gesetz zum Vertrag vom 21. April 1964 zwischen der Bundesrepublik Deutschland und dem Kaiserreich Äthiopien über die Entschädigung für das deutsche Vermögen in Äthiopien
       588 | Gesetz über das Ruhen von Ansprüchen aus Sonder- und Zusatzversorgungssystemen
       582 | Gesetz über die Errichtung einer Stiftung Reichspräsident-Friedrich-Ebert-Gedenkstätte
       580 | Gesetz über Maßnahmen zur Entlastung der öffentlichen Haushalte und zur Stabilisierung der Finanzentwicklung in der Rentenversicherung sowie über die Verlängerung der Investitionshilfeabgabe
       580 | Gesetz über die vermögensrechtlichen Verhältnisse der Bundeswasserstraßen
       573 | Gesetz zur Abwicklung der Reichsärztekammer
       570 | Gesetz über Steuerstatistiken
       566 | Zweites Gesetz zur Überleitung der Haushaltswirtschaft des Bundes in eine mehrjährige Finanzplanung
       564 | Gesetz über Kostenstrukturstatistik
       563 | Zweites Gesetz zur Änderung des Bundes-Seuchengesetzes
       563 | Gesetz über vermögenswirksame Leistungen für Beamte, Richter, Berufssoldaten und Soldaten auf Zeit
       563 | Gesetz über die Durchführung einer Repräsentativstatistik der Bevölkerung und des Erwerbslebens (Mikrozensus)
       562 | Gesetz über die Rechtsverhältnisse der Parlamentarischen Staatssekretäre
       561 | Gesetz über die Umwandlung der Deutschen Pfandbriefanstalt in eine Aktiengesellschaft
       554 | Sozialgesetzbuch - Gemeinsame Vorschriften für die Sozialversicherung -
       554 | Gesetz über die Unterhaltsbeihilfe für Angehörige von Kriegsgefangenen
       543 | Gesetz über den Ablauf der durch Kriegs- oder Nachkriegsvorschriften gehemmten Fristen
       537 | Gesetz zu dem Revisionsprotokoll vom 9. Juni 1969 zu dem am 21. Juli 1959 in Paris unterzeichneten Abkommen zwischen der Bundesrepublik Deutschland und der Französischen Republik zur Vermeidung der Doppelbesteuerungen und über gegenseitige Amts- und Rechtshilfe auf dem Gebiete der Steuern vom Einkommen und vom Vermögen sowie der Gewerbesteuern und der Grundsteuern
       536 | Gesetz betreffend das Abkommen zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika vom 15. Oktober 1954 über die von der Bundesrepublik zu gewährenden Abgabenvergünstigungen für die von den Vereinigten Staaten im Interesse der gemeinsamen Verteidigung geleisteten Ausgaben
       531 | Zweites Gesetz zur Änderung der Höfeordnung
       525 | Gesetz über den Feingehalt der Gold- und Silberwaren
       525 | Gesetz zur Errichtung neuer Freihäfen und zur Änderung des Zollgesetzes
       524 | Gesetz über eine Statistik des Personals, der Dienstbezüge, Vergütungen und Löhne im öffentlichen Dienst
       523 | Gesetz zur vorläufigen Neuregelung von Geldleistungen in der gesetzlichen Unfallversicherung
       521 | Zweites Gesetz zur Änderung und Ergänzung des Personenstandsgesetzes
       520 | Gesetz über die Sammlung des Bundesrechts
       519 | Gesetz über den Beruf des pharmazeutisch-technischen Assistenten
       519 | Gesetz über die Börsenzulassung umgestellter Wertpapiere
       517 | Gesetz zur Änderung des Titels IV und anderer Vorschriften der Gewerbeordnung
       517 | Sozialgesetzbuch - Verwaltungsverfahren -
       509 | Gesetz über die vermögensrechtlichen Verhältnisse der Bundesautobahnen und sonstigen Bundesstraßen des Fernverkehrs
       507 | Gesetz über gesetzliche Handelsklassen für Rohholz
       507 | Allgemeines Eisenbahngesetz
       505 | Gesetz zu der Vereinbarung vom 10. Dezember 1964 zur Durchführung des Abkommens vom 20. April 1960 zwischen der Bundesrepublik Deutschland und dem Vereinigten Königreich Großbritannien und Nordirland über Soziale Sicherheit
       503 | Gesetz zur Förderung der landwirtschaftlichen Siedlung
       503 | Gesetz zum Wiener Abkommen vom 12. Juni 1973 über den Schutz typographischer Schriftzeichen und ihre internationale Hinterlegung
       503 | Gesetz zur Durchführung einer Statistik über die Personenbeförderung im Straßenverkehr
       501 | Gesetz zur Regelung des Verhältnisses von Kriegsfolgengesetzen zum Einigungsvertrag
       500 | Umweltrahmengesetz
       495 | Gesetz zu dem Übereinkommen über den Internationalen Währungsfonds in der Fassung von 1976
       491 | Gesetz zur Aufhebung des Reichsheimstättengesetzes
       491 | Gesetz über befristete Arbeitsverträge mit Ärzten in der Weiterbildung
       489 | Gesetz zur Regelung der Folgen rechtswidriger Handlungen bei der Währungsumstellung von Mark der Deutschen Demokratischen Republik in Deutsche Mark
       480 | Gesetz zu den Protokollen vom 19. November 1976 und vom 5. Juli 1978 über die Ersetzung des Goldfrankens durch das Sonderziehungsrecht des Internationalen Währungsfonds sowie zur Regelung der Umrechnung des Goldfrankens in haftungsrechtlichen Bestimmungen
       479 | Gesetz zu dem Europäischen Übereinkommen vom 30. September 1957 über die internationale Beförderung gefährlicher Güter auf der Straße (ADR)
       479 | Gesetz über Finanzhilfen des Bundes nach Artikel 104a Abs. 4 des Grundgesetzes an die Länder Schleswig-Holstein, Niedersachsen, Freie Hansestadt Bremen sowie Freie und Hansestadt Hamburg
       478 | Gesetz zur Bekämpfung der Schwarzarbeit
       476 | Fünftes Gesetz zur Änderung beamtenrechtlicher und besoldungsrechtlicher Vorschriften
       475 | Gesetz über die Errichtung des Bundesverwaltungsamtes
       474 | Gesetz zu dem Schengener Übereinkommen vom 19. Juni 1990 betreffend den schrittweisen Abbau der Kontrollen an den gemeinsamen Grenzen
       473 | Zweites Gesetz zur Änderung beamtenrechtlicher Vorschriften
       470 | Gesetz zur Änderung des Reichs- und Staatsangehörigkeitsgesetzes
       470 | Gesetz über den rechtlichen Status der Rhein-Main-Donau-Großschiffahrtsstraße zwischen dem Main und Nürnberg und über die damit zusammenhängenden Eigentumsverhältnisse
       469 | Zweites Gesetz zur Durchführung von Richtlinien der Europäischen Wirtschaftsgemeinschaft über die Niederlassungsfreiheit und den freien Dienstleistungsverkehr
       469 | Gesetz über die parlamentarische Kontrolle nachrichtendienstlicher Tätigkeit des Bundes
       463 | Viertes Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen
       457 | Zwölftes Gesetz zur Änderung des Bundesausbildungsförderungsgesetzes
       457 | Gesetz über Vollstreckungsschutz für die Binnenschiffahrt
       457 | Gesetz zur Förderung der agrarstrukturellen und agrarsozialen Anpassung der Landwirtschaft der DDR an die soziale Marktwirtschaft - Fördergesetz -
